# Constructed from biom file
#OTU ID	lane1TineA1	lane1TineA10	lane1TineA11	lane1TineA12	lane1TineA2	lane1TineA3	lane1TineA4	lane1TineA5	lane1TineA6	lane1TineA7	lane1TineA8	lane1TineA9	lane1TineB1	lane1TineB10	lane1TineB11	lane1TineB12	lane1TineB2	lane1TineB3	lane1TineB4	lane1TineB5	lane1TineB6	lane1TineB7	lane1TineB8	lane1TineB9	lane1TineC1	lane1TineC10	lane1TineC11	lane1TineC12	lane1TineC2	lane1TineC3	lane1TineC4	lane1TineC5	lane1TineC6	lane1TineC7	lane1TineC8	lane1TineC9	lane1TineD1	lane1TineD2	lane1TineD3	lane1TineD4	lane1TineD5	lane1TineD6
1CMET2-PWY	3.926438075822756	0.0	6574.928888856205	45138.669776182855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.99847998331452	15731.318024278025	34122.84772883219	37762.81688576804	19150.764676800594	0.0	4377.061612446828	0.5599837261340849	7112.30168005944	24294.043839205988	19584.850161764025	35661.98468811481	53755.8337834508	36542.66968835324	72.83659013236745	0.6547405485774127	4079.2745372631675	18458.399324436334	15165.488421665903	76225.5703250222	98569.39312594412	58164.67410242934	93925.63119334861	60892.00163519455	108080.78609539226	36482.2346686631	134.98594049733762	36169.02958677354	2889.5213150659492	13528.67223121897	15695.760706816678
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1.6410884486855792	0.0	94.60196821598299	125.99125519594146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.46058015980884	15523.32577546376	13699.027494011001	13022.615545508732	4392.998458209061	0.0	3888.4607514858067	0.0	1977.2340701355186	7676.215906396132	6443.24772204317	11914.390396955792	19163.61074905696	13568.76149065286	0.0	0.0	10.344902806493408	6574.183709941318	5031.112587901209	18729.87121960397	2898.543269216289	2267.516965872181	35923.76146255587	31510.766012827637	15116.427285074511	31812.29212645904	25.673091776386975	16.004937125242733	4.6873870787336696	4658.243600225991	5351.721241474079
AEROBACTINSYN-PWY	0.0	0.0	0.11636443659602434	9.006921835915748e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.92	0.0	8996.304655462585	8070.833146833081	2673.6506222660955	0.0	146.8820946855597	0.0	1131.6444070395005	4531.879131323745	3838.5769104967835	6654.447873426336	12276.051175314702	8553.65718353065	0.0	0.0	0.0	3974.6099348879875	2919.2068520850426	52074.397706711534	14166.026450662734	245.93275124482773	17350.123130654316	24090.24040535801	50930.72032546406	2784.8087042019147	0.0	32588.338774482378	0.0	2764.9188207331927	3302.4835590917082
ALL-CHORISMATE-PWY	0.0	0.0	379.2740911896728	173.23516533775015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.16352450745376	0.0	20065.311560305272	19837.095411892235	12845.728874970302	0.0	4808.484833668367	0.0	3488.234459247062	11968.674437736396	10607.435429736832	17530.459961465753	30275.908987823903	20115.268424660848	0.0	0.0	0.0	9845.997645923182	8080.757490617278	70225.60740910153	32545.142562869016	813.0044859724327	39990.239913076824	42551.62864348022	81457.09247955223	18.39578513928947	0.0	37729.87632794426	0.0	6787.157900585613	7923.190847947785
ANAEROFRUCAT-PWY	5.1495773869318064	0.0	7629.137455314388	221.15417396713616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.25943195267479	248.50567426532476	33285.28318421299	36380.35035010084	22008.792588592336	0.0	5309.774299822544	0.5199773287663658	6795.912347355576	23084.610785962555	19376.287682432456	33176.594236116514	52170.522803114196	35243.56276881078	84.23319033535407	70.31698593966924	3685.1075108834516	17518.265925012547	14753.263391421366	80098.83744857599	92956.04140964634	51704.02855100045	77705.99236448557	51980.035774251315	109960.25945749802	22197.69419649109	69.54185162900147	43254.687748801996	1986.231155776708	12924.11235538379	15116.852608182868
ANAGLYCOLYSIS-PWY	5.305659836040097	0.0	9181.469783101636	305.85518310670284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.01476408688863	264.666819148333	33994.46237184312	37439.49261312225	23461.85851461193	0.0	5253.297832618767	0.4908993639659988	6883.177185694236	23412.972902198988	20517.79016639236	33978.41604154749	53383.0916762855	35851.52840359065	127.66335586729157	66.57646528393516	3774.946750152102	18054.400821012885	15022.207759116118	82153.9926702304	94261.2205455679	53308.26845154193	84182.52923317306	59577.2282676849	112073.75497871281	27967.250927058347	112.13150392750424	42113.60674990904	2461.1339877880746	13143.577411559749	15420.797728934956
ARG+POLYAMINE-SYN	3.506404076005617	0.0	1863.0640060217506	121.3096406569276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.68751052936658	382.08810749950754	22940.57284341122	23291.67193656294	10371.007063005512	0.0	4817.221694475937	0.0	3927.2861458115703	14886.158564412039	11918.9779790423	21725.901906055577	33813.82652300315	23399.41066886396	44.41203350083279	0.0	0.0	11475.722241827307	9150.720076342033	78996.04071339757	42374.41202242697	2410.981622490116	67379.12337911906	60894.2651676892	92766.44304154822	36418.12807746833	40.57932201180105	36879.805154445865	94.38145845533649	8397.868641949584	9821.287020451933
ARGDEG-PWY	0.0	0.0	13.672034184076557	128.4184151411067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.52598686290908	151.9642240065207	15402.14316151441	15287.753487187749	6473.24237993927	0.0	4733.298250616917	0.0	2514.6652175738172	8765.338763578102	7656.672537015407	13512.474572493602	23120.56756984305	15388.626017654664	0.0	0.0	0.0	7455.10177316646	5434.306711217454	65672.09549678654	25654.009749789646	730.6249474180486	33113.62261375589	35761.863988943514	72712.86545824875	15941.30493936293	0.0	38055.195700930824	0.0	5075.580679674625	5951.302871800286
ARGORNPROST-PWY	0.0	0.0	1959.547060106537	72.9959719321942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.140500766126069	14657.675689415437	17134.04843393777	16775.516703022007	8398.651945560474	0.0	0.0	0.0	2948.6398957775355	9749.58069786242	9071.32641531828	15699.712269241916	26697.253287001815	17260.32550936934	16.048171066753252	22.937611295230397	20.69616929345065	8281.858000925395	6568.151211031348	23820.849582781542	3702.244540566961	1987.8878090096507	39012.43253435555	36834.63226244428	19213.178540721798	29500.117090319993	21.8510184927317	129.6565172016368	0.0	5661.062459586158	6435.030841819348
ARGSYN-PWY	3.5946638394481707	0.0	3860.201200483387	583.1201392457049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.43003973498683	16368.445393931397	27917.760631101002	29613.087401413373	17885.67437389131	0.0	4734.674452192879	0.41739130434782606	5294.297565048504	18255.614209002364	15995.96934937047	28283.846739309574	43325.75476633379	29151.779116176167	104.75213180800387	14.570556923695898	127.02438255275075	14537.940307839386	11479.304722575953	71553.2916854288	40847.691809228534	9961.028829013023	75896.01096285503	58063.85646964736	85496.80376201014	39993.97984518174	116.62995371388335	33381.21926393009	2432.177843146537	10460.403621486492	12319.14816622475
